"Participant ID","Date","Variable Label","Max Pumps per Balloon","Number of Balloons","Number of Explosions","Mean pumps","Range pumps","Standard deviation pumps","Mean pumps after explosion","Mean pumps after no explosion","Mean pumps after no explosion","Total gains"
1182,,"BART0.25",10,15,4,1.666666666666667,1,0.4714045207910317,1.333333333333333,1.75,1.75,
1182,"2017-01-30T21:50:33.000Z","BART0.25",10,15,0,1.133333333333333,1,0.3399346342395189,0,1.133333333333333,1.133333333333333,
