Mean pumps,Standard deviation pumps
3.133333333,1.359738537
2.333333333,0.788810638
3.266666667,1.651934892
5.333333333,2.772884579
3.466666667,1.087300429
3.4,1.306394529
3.333333333,1.577621275
3.266666667,1.569146973
